,file,pred_text
290,common_voice_ru_18928532.mp3,германия неустанно занимается поиском политического решения
2113,common_voice_ru_19538308.mp3,центральное место в этой реформе занимает реформа совета безопасности
904,common_voice_ru_19044454.mp3,в азиатско тихоокеанском регионе произошло изменение состава группы
1785,common_voice_ru_19446850.mp3,генеральная ассамблея таким образом завершила рассмотрение первого доклада генерального комитета
2555,common_voice_ru_19787749.mp3,мы сопереживаем этим странам которые сталкиваются с огромными трудностями
267,common_voice_ru_18922289.mp3,я вижу что слово желает взять представитель египта
507,common_voice_ru_18975628.mp3,и эта политика правительства соединенного королевства остается в силе
1731,common_voice_ru_19421995.mp3,в марте этого года мы достойно ответили на этот вызов
1275,common_voice_ru_19212547.mp3,еще одним главным приоритетом является обеспечение национального единства в палестине
323,common_voice_ru_18929170.mp3,возможно при следующем обновлении программного обеспечения
